thread_id,stratum,rater_id,intent_label,auto_or_escalate,rationale,draft_pass_fail,draft_critique
g_real_73,real,,,,,,
g_real_104,real,,,,,,
g_real_96,real,,,,,,
g_real_41,real,,,,,,
g_real_12,real,,,,,,
g_real_90,real,,,,,,
g_adversarial_20,adversarial,,,,,,
g_boundary_27,boundary,,,,,,
g_real_92,real,,,,,,
g_real_70,real,,,,,,
g_boundary_8,boundary,,,,,,
g_adversarial_27,adversarial,,,,,,
g_boundary_30,boundary,,,,,,
g_adversarial_34,adversarial,,,,,,
g_adversarial_23,adversarial,,,,,,
g_boundary_22,boundary,,,,,,
g_real_74,real,,,,,,
g_boundary_10,boundary,,,,,,
g_adversarial_22,adversarial,,,,,,
g_real_117,real,,,,,,
g_adversarial_9,adversarial,,,,,,
g_real_80,real,,,,,,
g_real_53,real,,,,,,
g_real_46,real,,,,,,
g_real_28,real,,,,,,
g_real_19,real,,,,,,
g_adversarial_8,adversarial,,,,,,
g_real_55,real,,,,,,
g_real_72,real,,,,,,
g_boundary_13,boundary,,,,,,
g_boundary_31,boundary,,,,,,
g_real_105,real,,,,,,
g_real_11,real,,,,,,
g_real_109,real,,,,,,
g_real_6,real,,,,,,
g_real_9,real,,,,,,
g_real_8,real,,,,,,
g_real_27,real,,,,,,
g_adversarial_39,adversarial,,,,,,
g_real_68,real,,,,,,
g_real_115,real,,,,,,
g_boundary_7,boundary,,,,,,
g_adversarial_18,adversarial,,,,,,
g_real_54,real,,,,,,
g_real_15,real,,,,,,
g_real_50,real,,,,,,
g_boundary_15,boundary,,,,,,
g_boundary_18,boundary,,,,,,
g_adversarial_0,adversarial,,,,,,
g_adversarial_16,adversarial,,,,,,
