thread_id,stratum,rater_id,intent_label,auto_or_escalate,rationale,draft_pass_fail,draft_critique
g_real_0,real,r3,account_access,auto,"Cooperative login issue with clear DM handoff.",,
g_real_58,real,r3,card_delivery,escalate,"PII phone posted publicly plus still unresolved; human should step in.",,
g_real_40,real,r3,account_access,auto,"Cooperative login issue with clear DM handoff.",,
g_real_25,real,r3,praise_thanks,auto,"Simple thanks, nothing to resolve.",,
g_real_22,real,r3,refund_request,auto,"Cooperative refund check with DM path.",,
g_real_48,real,r3,card_delivery,escalate,"PII phone posted publicly plus still unresolved; human should step in.",,
g_real_32,real,r3,refund_request,auto,"Cooperative refund check with DM path.",,
g_real_86,real,r3,greeting_smalltalk,auto,"Weekend-hours greeting, no sensitive need.",,
g_real_71,real,r3,billing_charge_dispute,auto,"Cooperative duplicate-charge check with DM path.",,
g_boundary_28,boundary,r3,other,escalate,"Single sarcastic line, intent unclear and tone reads frustrated; low confidence.",,
g_boundary_21,boundary,r3,other,escalate,"Single word with no context; low confidence.",,
g_boundary_29,boundary,r3,other,escalate,"Bare digits with no context; possible fragment, low confidence.",,
g_boundary_36,boundary,r3,other,escalate,"Single word with no context; low confidence.",,
g_adversarial_38,adversarial,r3,account_access,escalate,"Sarcastic anger about broken login plus PII phone; human should step in.",,
g_adversarial_21,adversarial,r3,card_delivery,escalate,"ZIP and address posted publicly; PII present so human must handle.",,
