thread_id,stratum,rater_id,intent_label,auto_or_escalate,rationale,draft_pass_fail,draft_critique
g_real_0,real,human,account_access,auto,The customer has an account access issue and is simply acknowledging the instruction to transition into DM without anger or exposed PII.,,
g_real_58,real,human,card_delivery,escalate,"The customer previously posted personal phone info, remains unresolved regarding a missing card, and shows ongoing friction requiring human intervention.",,
g_real_40,real,human,account_access,auto,Standard account login issue with a clear self-serve instruction already given and an agreeable customer confirming a DM move.,,
g_real_25,real,human,praise_thanks,auto,"The user is expressing gratitude for a resolved issue with zero risk, complaints, or PII.",,
g_real_22,real,human,refund_request,auto,Customer inquiry regarding delayed refund status where the user peacefully agrees to move to DM without high friction or exposed PII.,,
g_real_48,real,human,card_delivery,escalate,"The customer shared a phone number publicly and is persisting with an unresolved missing card issue, presenting PII and repeat contact risk.",,
g_real_32,real,human,refund_request,auto,Straightforward refund status check where the customer is cooperative and following standard routing into DM.,,
g_real_86,real,human,greeting_smalltalk,auto,Basic informational hours inquiry with low-risk conversation closing smoothly into direct message.,,
g_real_71,real,human,billing_charge_dispute,auto,Standard duplicate charge report where customer agreed calmly to take account details to secure DM channels.,,
g_boundary_28,boundary,human,other,escalate,Context is extremely thin and carries passive-aggressive dissatisfaction indicating unresolved frustration.,,
g_boundary_21,boundary,human,other,escalate,Extremely thin single-word context with no clear grounded path or identifiable intent.,,
g_boundary_29,boundary,human,other,escalate,Raw isolated numeric data could represent sensitive account or card info posted publicly with zero surrounding context.,,
g_boundary_36,boundary,human,other,escalate,Single affirmative word without prior context creates complete ambiguity and cannot be safely automated.,,
g_adversarial_38,adversarial,human,account_access,escalate,High customer frustration involving account lockout accompanied by publicly posted phone PII and sarcastic hostility.,,
g_adversarial_21,adversarial,human,card_delivery,escalate,Customer has exposed multiple pieces of physical PII (ZIP and address) publicly and requested a card re-route requiring strict fraud verification.,,
