thread_id,stratum,rater_id,intent_label,auto_or_escalate,rationale,draft_pass_fail,draft_critique
g_real_0,real,r1,account_access,auto,"Clear login-failure need with no PII anger or thin context and a cooperative DM handoff.",,
g_real_58,real,r1,card_delivery,escalate,"Missing-card need carries visible phone PII and an unresolved close so fail-closed escalation is required.",,
g_real_40,real,r1,account_access,auto,"Clear login-failure need with no PII anger or thin context and a cooperative DM handoff.",,
g_real_25,real,r1,praise_thanks,auto,"Resolved-and-thanking turn with no PII anger money-movement or further ask.",,
g_real_22,real,r1,refund_request,auto,"Two-week missing-refund need with no PII or anger and a cooperative DM next step.",,
g_real_48,real,r1,card_delivery,escalate,"Missing-card need carries visible phone PII and an unresolved close so fail-closed escalation is required.",,
g_real_32,real,r1,refund_request,auto,"Two-week missing-refund need with no PII or anger and a cooperative DM next step.",,
g_real_86,real,r1,greeting_smalltalk,auto,"Weekend-hours smalltalk with no PII risk anger or substantive need.",,
g_real_71,real,r1,billing_charge_dispute,auto,"Duplicate-charge dispute with no PII anger or thin context and a cooperative DM path.",,
g_boundary_28,boundary,r1,other,escalate,"Dismissive fragment with thin context and possible dissatisfaction so nothing is safe to inherit.",,
g_boundary_21,boundary,r1,other,escalate,"Bare yes with no context to ground any intent so blind inheritance is unsafe.",,
g_boundary_29,boundary,r1,other,escalate,"Bare numeric code with thin context and a possible sensitive fragment so borderline goes up.",,
g_boundary_36,boundary,r1,other,escalate,"Bare yes with no context to ground any intent so blind inheritance is unsafe.",,
g_adversarial_38,adversarial,r1,complaint_escalation,escalate,"Sarcastic angry login complaint with visible phone PII plus lockout anger so PII and anger rules both force escalation.",,
g_adversarial_21,adversarial,r1,card_delivery,escalate,"New-card request exposes zip and address PII in-thread so it escalates despite the clear need.",,
