thread_id,stratum,rater_id,intent_label,auto_or_escalate,rationale,draft_pass_fail,draft_critique
g_real_115,real,human,praise_thanks,auto,"Low-risk, polite statement confirming resolution with no remaining customer need.",pass,"Courteous, directly acknowledges the customer's resolution, and safely closes the loop."
g_real_117,real,human,account_access,escalate,Critical security vulnerability due to public SSN exposure combined with an ongoing unresolved account lockout.,pass,"Appropriately emphasizes public PII danger, warns against sharing SSN, and provides secure alternative verification channels."
g_real_90,real,human,account_access,auto,Customer is cooperating with account recovery instructions and taking the conversation into DM as directed.,pass,Accurately guides the user to DM while warning against posting sensitive details publicly.
g_real_73,real,human,card_delivery,auto,Standard tracking for a delayed replacement card with clear transition to private DM.,pass,"Clear, friendly, and properly instructs the user to share the sensitive address only in DM."
g_real_96,real,human,greeting_smalltalk,auto,"Benign inquiry transitioning into DM without frustration, risk, or PII.",pass,"Friendly, welcoming tone suitable for an open inquiry moving to direct messaging."
g_real_109,real,human,billing_charge_dispute,escalate,"High customer anger combined with monetary dispute, repeat fee issue, and exposed account number.",fail,Word-for-word copy of the previous brand reply that ignores the customer's escalating repeat complaint.
g_real_92,real,human,refund_request,auto,Routine refund status inquiry moving to DM in a cooperative manner.,pass,Requests appropriate non-sensitive tracking information in DM without asking for severe PII.
g_real_80,real,human,account_access,auto,Customer acknowledges instructions to transition to DM for account lockout resolution.,pass,Reinforces privacy safeguards and prepares the user for identity verification in private channels.
g_real_28,real,human,card_delivery,escalate,Repeat complaint regarding a missing card with previously posted phone PII.,pass,Empathetic acknowledgment of ongoing frustration while strictly enforcing DM for verification details.
g_real_15,real,human,praise_thanks,auto,The customer is confirming closure and resolution with praise.,pass,"Standard, warm customer service closing message."
g_real_72,real,human,refund_request,auto,Calm customer follow-up on delayed refund agreeing to private routing.,pass,"Specific, polite, and requests relevant transaction metadata in DM."
g_real_54,real,human,card_product_question,auto,Product question regarding card interest rates where user agrees to continue in DM.,fail,Inappropriately asks the customer for account details and identity verification to provide general product interest rate information.
g_real_70,real,human,account_access,auto,Routine password failure with agreeable customer following standard escalation to DM.,pass,Gives clear DM instructions while reminding the customer not to share sensitive data in public.
g_real_104,real,human,card_product_question,auto,General card product interest rate query handled via DM transition.,fail,Asks for unnecessary private account verification details for a public credit card terms inquiry.
g_real_8,real,human,card_delivery,escalate,Customer shared phone PII previously and remains stuck on an unresolved missing card issue.,pass,"Directly handles the recurring issue politely, reiterates social channel policy, and specifies required fields safely in DM."
g_real_53,real,human,card_delivery,auto,Cooperative inquiry regarding delayed card delivery routing smoothly into DM.,pass,Properly directs the customer to provide address details exclusively over DM.
g_real_55,real,human,praise_thanks,auto,Explicit statement of resolved status and praise requiring closure.,pass,"Well-structured, courteous closing response."
g_real_11,real,human,billing_charge_dispute,auto,Uncontested dispute of duplicate charge progressing normally into DM channel.,pass,Directs customer to securely transmit transaction and account context via DM.
g_real_27,real,human,account_access,escalate,Severe PII breach in public thread coupled with an ongoing account lockout and customer friction.,pass,Explicitly addresses the public SSN security risk and routes the user to secure channels.
g_real_74,real,human,card_product_question,auto,Routine product inquiry regarding Freedom card APR moving to DM.,fail,Demands private account details and identity verification to provide general product interest rate information.
g_real_46,real,human,greeting_smalltalk,auto,Low-complexity weekend hours query smoothly moving into DM.,pass,"Friendly, helpful tone welcoming the incoming direct message."
g_real_12,real,human,refund_request,auto,"Cooperative user asking about refund status, following guidance into DM.",pass,Promptly asks for essential tracking details within DM.
g_real_68,real,human,card_delivery,escalate,User shared phone PII publicly and is expressing persistent frustration over an undelivered card.,pass,De-escalates frustration well while outlining secure verification requirements in DM.
g_real_105,real,human,praise_thanks,auto,Customer expresses resolution and gratitude with zero residual inquiry.,pass,Professional and conclusive closeout.
g_real_9,real,human,billing_charge_dispute,escalate,High customer anger regarding recurring incorrect fees with public account number exposure.,fail,Canned repetitive response fails to acknowledge that the user already replied stating it is still unresolved.
g_real_6,real,human,greeting_smalltalk,auto,Customer asking basic schedule question and agreeing to reach out in DM.,pass,Helpful and polite acknowledgment for transitioning to DM.
g_real_50,real,human,account_access,auto,Standard login trouble where user cooperatively agrees to private channel assistance.,pass,Reinforces privacy protocols while inviting the customer into private DM.
g_real_19,real,human,billing_charge_dispute,escalate,"Customer is furious over repeat billing charges, has posted account PII publicly, and shows unresolved friction.",fail,Unhelpful automated echo of previous reply without acknowledging the persistent issue.
g_real_41,real,human,billing_charge_dispute,auto,Routine duplicate charge claim handled smoothly via transition to private message.,pass,"Requests concrete, necessary billing dispute details safely via DM."
g_boundary_27,boundary,human,other,escalate,"The customer input is an isolated two-word statement with missing antecedent context, creating extreme ambiguity.",fail,Overly verbose and hallucinates specific operational steps without knowing what the customer was doing.
g_boundary_30,boundary,human,refund_request,auto,Customer combines praise with an explicit new request regarding refund status.,pass,Directly answers the underlying refund question and provides a secure path via DM.
g_boundary_15,boundary,human,refund_request,auto,Direct inquiry regarding refund arrival status that can be handled via standard DM intake.,pass,Concisely sets timeline expectations and moves account lookup to DM.
g_boundary_8,boundary,human,complaint_escalation,escalate,Passive-aggressive expression reflecting unresolved dissatisfaction and negative sentiment requiring human care.,pass,Good empathetic tone offering a specialist review to address the underlying irritation.
g_boundary_18,boundary,human,complaint_escalation,escalate,Customer shows sullen discontent signaling an incomplete or unsatisfactory prior resolution.,pass,Tactfully recognizes implicit frustration and routes to a specialist.
g_boundary_13,boundary,human,complaint_escalation,escalate,Customer displays sullen disengagement indicating a deteriorating service experience.,pass,"Validates negative emotion and offers a clear, secure path for specialist follow-up."
