thread_id,stratum,rater_id,intent_label,auto_or_escalate,rationale,draft_pass_fail,draft_critique
g_real_115,real,r1,praise_thanks,auto,"Single-turn thanks for a resolved issue; no PII, anger, or open need - safe to auto-close.",pass,Grounded in the customer's own 'resolved' statement; polite closure is the right serve.
g_real_117,real,r1,account_access,escalate,SSN posted in-thread plus unresolved account lockout - PII presence mandates escalation.,pass,"Exemplary PII handling - warns about the public SSN, offers secure channels, and adds the reset step."
g_real_90,real,r1,account_access,auto,Routine login failure with the standard reset path already offered and accepted; no PII or anger - auto with DM fallback.,pass,"Polite and secure-channel framed; grounded in the DM-verify exemplar, though it ignores that the reset step was already offered."
g_real_73,real,r1,card_delivery,auto,Routine replacement-card tracking with a grounded DM address-confirm path; no risk flags - auto.,pass,Grounded address-verify-and-track path matching the brand's own ask; polite.
g_real_96,real,r1,greeting_smalltalk,auto,Trivial hours inquiry with no risk or context thinness - auto.,pass,"Polite low-risk engagement consistent with the brand's own reply, though it never actually answers the hours question."
g_real_109,real,r1,billing_charge_dispute,escalate,Open fury over repeated wrong fees (money movement) with account number in-thread - anger-plus-money doctrine forces escalation.,pass,Grounded de-escalation mirroring the specialist-routing exemplar; appropriately routes fury to a human.
g_real_92,real,r1,refund_request,auto,"Clear refund-status ask, no anger or PII, grounded DM path - auto; monitor for repeat contact.",pass,"Grounded status-check path, though 'order number' is off-domain phrasing for a bank refund."
g_real_80,real,r1,account_access,auto,Routine login failure with the standard reset path already offered and accepted; no PII or anger - auto with DM fallback.,pass,"Polite and secure-channel framed; grounded in the DM-verify exemplar, though it ignores that the reset step was already offered."
g_real_28,real,r1,card_delivery,escalate,Phone number posted publicly and card issue unresolved after the first reply - PII in-thread mandates escalation.,pass,"Correctly refuses the public-call ask, redirects to secure DM, and requests last-4 only - good PII hygiene."
g_real_15,real,r1,praise_thanks,auto,"Single-turn thanks for a resolved issue; no PII, anger, or open need - safe to auto-close.",pass,Grounded in the customer's own 'resolved' statement; polite closure is the right serve.
g_real_72,real,r1,refund_request,auto,"Clear refund-status ask, no anger or PII, grounded DM path - auto; monitor for repeat contact.",pass,"Grounded status-check path, though 'order number' is off-domain phrasing for a bank refund."
g_real_54,real,r1,card_product_question,auto,"Simple published-rate product question, no risk - auto.",fail,Wrong serve - demands identity verification to state a public published rate and solicits account details the brand's own reply never needed.
g_real_70,real,r1,account_access,auto,Routine login failure with the standard reset path already offered and accepted; no PII or anger - auto with DM fallback.,pass,"Polite and secure-channel framed; grounded in the DM-verify exemplar, though it ignores that the reset step was already offered."
g_real_104,real,r1,card_product_question,auto,"Simple published-rate product question, no risk - auto.",fail,Wrong serve - demands identity verification to state a public published rate and solicits account details the brand's own reply never needed.
g_real_8,real,r1,card_delivery,escalate,Phone number posted publicly and card issue unresolved after the first reply - PII in-thread mandates escalation.,pass,"Correctly refuses the public-call ask, redirects to secure DM, and requests last-4 only - good PII hygiene."
g_real_53,real,r1,card_delivery,auto,Routine replacement-card tracking with a grounded DM address-confirm path; no risk flags - auto.,pass,Grounded address-verify-and-track path matching the brand's own ask; polite.
g_real_55,real,r1,praise_thanks,auto,"Single-turn thanks for a resolved issue; no PII, anger, or open need - safe to auto-close.",pass,Grounded in the customer's own 'resolved' statement; polite closure is the right serve.
g_real_11,real,r1,billing_charge_dispute,auto,"Clear duplicate-charge dispute with a grounded DM path, no anger or PII - auto.",pass,"Grounded duplicate-charge path matching the brand's own ask; polite, though it requests the full account number rather than last-4."
g_real_27,real,r1,account_access,escalate,SSN posted in-thread plus unresolved account lockout - PII presence mandates escalation.,pass,"Exemplary PII handling - warns about the public SSN, offers secure channels, and adds the reset step."
g_real_74,real,r1,card_product_question,auto,"Simple published-rate product question, no risk - auto.",fail,Wrong serve - demands identity verification to state a public published rate and solicits account details the brand's own reply never needed.
g_real_46,real,r1,greeting_smalltalk,auto,Trivial hours inquiry with no risk or context thinness - auto.,pass,"Polite low-risk engagement consistent with the brand's own reply, though it never actually answers the hours question."
g_real_12,real,r1,refund_request,auto,"Clear refund-status ask, no anger or PII, grounded DM path - auto; monitor for repeat contact.",pass,"Grounded status-check path, though 'order number' is off-domain phrasing for a bank refund."
g_real_68,real,r1,card_delivery,escalate,Phone number posted publicly and card issue unresolved after the first reply - PII in-thread mandates escalation.,pass,"Correctly refuses the public-call ask, redirects to secure DM, and requests last-4 only - good PII hygiene."
g_real_105,real,r1,praise_thanks,auto,"Single-turn thanks for a resolved issue; no PII, anger, or open need - safe to auto-close.",pass,Grounded in the customer's own 'resolved' statement; polite closure is the right serve.
g_real_9,real,r1,billing_charge_dispute,escalate,Open fury over repeated wrong fees (money movement) with account number in-thread - anger-plus-money doctrine forces escalation.,pass,Grounded de-escalation mirroring the specialist-routing exemplar; appropriately routes fury to a human.
g_real_6,real,r1,greeting_smalltalk,auto,Trivial hours inquiry with no risk or context thinness - auto.,pass,"Polite low-risk engagement consistent with the brand's own reply, though it never actually answers the hours question."
g_real_50,real,r1,account_access,auto,Routine login failure with the standard reset path already offered and accepted; no PII or anger - auto with DM fallback.,pass,"Polite and secure-channel framed; grounded in the DM-verify exemplar, though it ignores that the reset step was already offered."
g_real_19,real,r1,billing_charge_dispute,escalate,Open fury over repeated wrong fees (money movement) with account number in-thread - anger-plus-money doctrine forces escalation.,pass,Grounded de-escalation mirroring the specialist-routing exemplar; appropriately routes fury to a human.
g_real_41,real,r1,billing_charge_dispute,auto,"Clear duplicate-charge dispute with a grounded DM path, no anger or PII - auto.",pass,"Grounded duplicate-charge path matching the brand's own ask; polite, though it requests the full account number rather than last-4."
