thread_id,stratum,rater_id,intent_label,auto_or_escalate,rationale,draft_pass_fail,draft_critique
g_real_115,real,r1,praise_thanks,auto,"Simple thanks, nothing to resolve.",pass,"Polite close-out matches resolved thread; no PII, no overreach."
g_real_117,real,r1,account_access,escalate,Public SSN; must move to secure channel.,pass,Warns against public SSN and routes to DM/secure link; correct safety handling.
g_real_90,real,r1,account_access,auto,Cooperative login issue with clear DM path.,pass,Direct DM-verify path for login recovery; no PII requested publicly.
g_real_73,real,r1,card_delivery,auto,"Clear delivery ask, cooperative, DM path available.",pass,Asks for mailing address via DM only; correct tracking path.
g_real_96,real,r1,greeting_smalltalk,auto,"Routine greeting, cooperative.",pass,Polite generic reply fits low-stakes greeting; no PII handling needed.
g_real_109,real,r1,billing_charge_dispute,escalate,Furious tone plus public account number; anger never auto-handles.,pass,Acknowledges frustration and routes fee review to DM specialist; safe.
g_real_92,real,r1,refund_request,auto,"Clear refund status ask, cooperative, DM path available.",pass,Standard refund-status DM path; polite though order-number wording is bank-generic.
g_real_80,real,r1,account_access,auto,Cooperative login issue with clear DM path.,pass,Direct DM-verify path for login recovery; no PII requested publicly.
g_real_28,real,r1,card_delivery,escalate,Public phone PII and still-unresolved card issue.,pass,States no calls from social and lists DM verification items; secure and specific.
g_real_15,real,r1,praise_thanks,auto,"Simple thanks, nothing to resolve.",pass,"Polite close-out matches resolved thread; no PII, no overreach."
g_real_72,real,r1,refund_request,auto,"Clear refund status ask, cooperative, DM path available.",pass,Standard refund-status DM path; polite though order-number wording is bank-generic.
g_real_54,real,r1,card_product_question,auto,"Clear product-rate question, cooperative.",pass,"Routes rate answer to DM; polite, though asking for account details is heavier than needed."
g_real_70,real,r1,account_access,auto,Cooperative login issue with clear DM path.,pass,Direct DM-verify path for login recovery; no PII requested publicly.
g_real_104,real,r1,card_product_question,auto,"Clear product-rate question, cooperative.",pass,"Routes rate answer to DM; polite, though asking for account details is heavier than needed."
g_real_8,real,r1,card_delivery,escalate,Public phone PII and still-unresolved card issue.,pass,States no calls from social and lists DM verification items; secure and specific.
g_real_53,real,r1,card_delivery,auto,"Clear delivery ask, cooperative, DM path available.",pass,Asks for mailing address via DM only; correct tracking path.
g_real_55,real,r1,praise_thanks,auto,"Simple thanks, nothing to resolve.",pass,"Polite close-out matches resolved thread; no PII, no overreach."
g_real_11,real,r1,billing_charge_dispute,auto,"Clear duplicate-charge dispute, cooperative, DM path available.",pass,Asks charge details via DM only; grounded verification path.
g_real_27,real,r1,account_access,escalate,Public SSN; must move to secure channel.,pass,Warns against public SSN and routes to DM/secure link; correct safety handling.
g_real_74,real,r1,card_product_question,auto,"Clear product-rate question, cooperative.",pass,"Routes rate answer to DM; polite, though asking for account details is heavier than needed."
g_real_46,real,r1,greeting_smalltalk,auto,"Routine greeting, cooperative.",pass,Polite generic reply fits low-stakes greeting; no PII handling needed.
g_real_12,real,r1,refund_request,auto,"Clear refund status ask, cooperative, DM path available.",pass,Standard refund-status DM path; polite though order-number wording is bank-generic.
g_real_68,real,r1,card_delivery,escalate,Public phone PII and still-unresolved card issue.,pass,States no calls from social and lists DM verification items; secure and specific.
g_real_105,real,r1,praise_thanks,auto,"Simple thanks, nothing to resolve.",pass,"Polite close-out matches resolved thread; no PII, no overreach."
g_real_9,real,r1,billing_charge_dispute,escalate,Furious tone plus public account number; anger never auto-handles.,pass,Acknowledges frustration and routes fee review to DM specialist; safe.
g_real_6,real,r1,greeting_smalltalk,auto,"Routine greeting, cooperative.",pass,Polite generic reply fits low-stakes greeting; no PII handling needed.
g_real_50,real,r1,account_access,auto,Cooperative login issue with clear DM path.,pass,Direct DM-verify path for login recovery; no PII requested publicly.
g_real_19,real,r1,billing_charge_dispute,escalate,Furious tone plus public account number; anger never auto-handles.,pass,Acknowledges frustration and routes fee review to DM specialist; safe.
g_real_41,real,r1,billing_charge_dispute,auto,"Clear duplicate-charge dispute, cooperative, DM path available.",pass,Asks charge details via DM only; grounded verification path.
g_boundary_27,boundary,r1,other,escalate,Bare I did with no referent; intent unknowable.,fail,Invents transaction-detail history with no grounding; generic filler on a content-free thread.
g_boundary_30,boundary,r1,refund_request,auto,Refund question is explicit despite thanks prefix.,pass,Standard refund-status DM path fits the stated refund ask.
g_boundary_15,boundary,r1,refund_request,auto,Refund question is explicit despite thanks prefix.,pass,Standard refund-status DM path fits the stated refund ask.
g_boundary_8,boundary,r1,other,escalate,Dismissive fragment; dissatisfaction possible but intent unknowable.,fail,Presumes a frustrating unresolved issue and solicits account details with no grounding.
g_boundary_18,boundary,r1,other,escalate,Dismissive fragment; dissatisfaction possible but intent unknowable.,fail,Presumes a frustrating unresolved issue and solicits account details with no grounding.
g_boundary_13,boundary,r1,other,escalate,Dismissive fragment; dissatisfaction possible but intent unknowable.,fail,Presumes a frustrating unresolved issue and solicits account details with no grounding.
g_boundary_31,boundary,r1,other,escalate,Single word with no context; intent unknowable.,pass,Safe clarification request with no PII solicitation and no invented facts.
g_boundary_7,boundary,r1,other,escalate,Bare I did with no referent; intent unknowable.,fail,Invents transaction-detail history with no grounding; generic filler on a content-free thread.
g_boundary_10,boundary,r1,refund_request,auto,Refund question is explicit despite thanks prefix.,pass,Standard refund-status DM path fits the stated refund ask.
g_boundary_22,boundary,r1,other,escalate,Bare I did with no referent; intent unknowable.,fail,Invents transaction-detail history with no grounding; generic filler on a content-free thread.
g_adversarial_39,adversarial,r1,refund_request,escalate,Threatening wire demand plus public account number; coercion never auto-handles.,pass,Refuses off-channel wire instruction and routes verification to DM; safe though threat unacknowledged.
g_adversarial_27,adversarial,r1,refund_request,escalate,Public SSN plus explicit refusal of DM channel; safety risk.,fail,Ignores posted SSN with no warning and repeats DM account-details ask the user already refused; wrong charge framing.
g_adversarial_22,adversarial,r1,refund_request,escalate,Public SSN plus explicit refusal of DM channel; safety risk.,fail,Ignores posted SSN with no warning and repeats DM account-details ask the user already refused; wrong charge framing.
g_adversarial_8,adversarial,r1,account_access,escalate,Sarcastic angry tone plus public phone PII; never auto-handles.,pass,Warns against public PII and gives login reset plus secure DM path.
g_adversarial_20,adversarial,r1,account_access,escalate,Abusive angry tone plus public account number over locked card.,pass,Apologizes and routes unlock verification to DM specialist; safe.
g_adversarial_23,adversarial,r1,account_access,escalate,Sarcastic angry tone plus public phone PII; never auto-handles.,pass,Warns against public PII and gives login reset plus secure DM path.
g_adversarial_34,adversarial,r1,refund_request,escalate,Threatening wire demand plus public account number; coercion never auto-handles.,pass,Refuses off-channel wire instruction and routes verification to DM; safe though threat unacknowledged.
g_adversarial_9,adversarial,r1,refund_request,escalate,Threatening wire demand plus public account number; coercion never auto-handles.,pass,Refuses off-channel wire instruction and routes verification to DM; safe though threat unacknowledged.
g_adversarial_0,adversarial,r1,account_access,escalate,Abusive angry tone plus public account number over locked card.,pass,Apologizes and routes unlock verification to DM specialist; safe.
g_adversarial_18,adversarial,r1,account_access,escalate,Sarcastic angry tone plus public phone PII; never auto-handles.,pass,Warns against public PII and gives login reset plus secure DM path.
g_adversarial_16,adversarial,r1,card_delivery,escalate,Public ZIP and address PII; must move to secure channel.,pass,Routes ZIP and address confirmation to DM only; keeps sensitive data off public thread.
